"Recipient Type","Recipient Name","Nit o Identificacion","Workplace","Specialty","Categoria de la Transferencia","Date of Provision","Place","Purpose","Details","Amount (COP)"
"HCP","Dr. Nicolas Vargas","CE-430265","Clínica Foscal (Bucaramanga)","Neurología","REUNIONES","2026-02-03","Bucaramanga","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260203-1",304024
"HCP","Dr. Valeria Perez","CC-1496701602","Hospital Departamental de Villavicencio","Dermatología","DONACIONES","2026-04-15","Villavicencio","Beca de estudio científico institucional","Factura CO-20260415-2",15339682
"HCP","Dr. Alvaro Vargas","CC-1710281151","Clínica Foscal (Bucaramanga)","Medicina Interna","DONACIONES","2026-05-14","Bucaramanga","Donación de equipo ecográfico portátil","Factura CO-20260514-3",3679272
"HCP","Dr. Gustavo Ochoa","CC-1565651050","Hospital Departamental de Villavicencio","Pediatría","VIAJES","2026-03-03","Villavicencio","Gastos de traslado aéreo a congreso médico","Factura CO-20260303-4",719900
"HCP","Dr. Valeria Castro","CC-1652520805","Hospital Pablo Tobón Uribe (Medellín)","Medicina Interna","VIAJES","2026-01-30","Medellín","Gastos de viáticos internacionales","Factura CO-20260130-5",3445705
"HCP","Dr. Jorge Diaz","CE-582348","Hospital Pablo Tobón Uribe (Medellín)","Cirugía General","REUNIONES","2026-02-22","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260222-6",154733
"HCP","Dr. Alvaro Gomez","CC-1184540566","Fundación Cardioinfantil (Bogotá)","Pediatría","HONORARIOS","2026-02-28","Bogotá","Contrato de advisory board farmacéutico","Factura CO-20260228-7",807698
"HCP","Dr. Luciana Castro","CC-1274798437","Fundación Santa Fe de Bogotá","Dermatología","HONORARIOS","2026-03-30","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260330-8",3928743
"HCP","Dr. Camila Salazar","CC-1358077654","Clínica Valle del Lili (Cali)","Dermatología","DONACIONES","2026-05-02","Cali","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260502-9",20948647
"HCP","Dr. Valeria Restrepo","CC-1441667528","Fundación Cardioinfantil (Bogotá)","Medicina Interna","DONACIONES","2026-04-16","","Erogación de insumos médicos para cuidado intensivo","",21309251
"HCP","Dr. Andres Alvarez","CC-1616189389","Clínica Valle del Lili (Cali)","Oncología","VIAJES","2026-04-12","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260412-11",1209945
"HCP","Dr. Juan Castro","CC-1674977948","Hospital General de Medellín","Radiología","VIAJES","2026-04-20","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260420-12",2324832
"HCP","Dr. Mauricio Ochoa","CC-1705958564","Hospital General de Medellín","Pediatría","DONACIONES","2026-04-20","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260420-13",24129793
"HCP","Dr. Camila Diaz","CC-1052741181","Fundación Santa Fe de Bogotá","Dermatología","VIAJES","2026-03-25","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260325-14",2569495
"HCP","Dr. Daniela Gonzalez","CC-1556775721","Fundación Santa Fe de Bogotá","Ginecología","REUNIONES","2026-02-03","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260203-15",624173
"HCP","Dr. Natalia Moreno","CC-1532634415","Clínica Valle del Lili (Cali)","Ginecología","DONACIONES","2026-02-20","Cali","Donación de equipo ecográfico portátil","Factura CO-20260220-16",2327257
"HCP","Dr. Sebastian Ortiz","CC-1247726579","Clínica Imbanaco (Cali)","Oncología","HONORARIOS","2026-03-10","Cali","Contrato de advisory board farmacéutico","Factura CO-20260310-17",4564484
"HCP","Dr. Patricia Gutierrez","CC-1480496628","Fundación Cardioinfantil (Bogotá)","Oncología","VIAJES","2026-02-26","Bogotá","Alojamiento en hotel para convención científica","Factura CO-20260226-18",3313297
"HCP","Dr. Patricia Sanchez","CC-1030667101","Clínica Valle del Lili (Cali)","Radiología","HONORARIOS","2026-03-21","Cali","Docencia en conferencia regional de salud","Factura CO-20260321-19",2973729
