"Recipient Type","Recipient Name","Codice Fiscale","Struttura","Specializzazione","Tipologia","Data","Place","Oggetto","Dettagli","Amount"
"HCP","Dr. Silvia De Luca","DLCSLV70L25F205H","Policlinico di Bari","Chirurgia Generale","CONSULTANCY","2026-01-29","Torino","Consulenza tecnica di prodotto","Fattura IT-20260129-1",494
"HCP","Dr. Beatrice Barbier","BRBBTR51M02F205H","Ospedale Molinette (Torino)","Chirurgia Generale","CONSULTANCY","2026-05-13","Padova","Partecipazione tavola rotonda","Fattura IT-20260513-2",615
"HCP","Dr. Paola Barbier","BRBPLP85P01F205H","Policlinico di Bari","Oncologia","CONSULTANCY","2026-01-24","Torino","Partecipazione tavola rotonda","Fattura IT-20260124-3",170
"HCP","Dr. Alice Rinaldi","RNLLCL71H01F205H","Ospedale Sant'Orsola (Bologna)","Chirurgia Generale","CONSULTANCY","2026-03-05","Napoli","Consulenza tecnica di prodotto","Fattura IT-20260305-4",73
"HCP","Dr. Mattia Rossi","RSSMTT83L14F205H","Ospedale San Martino (Genova)","Anestesiologia","PRESENTATION","2026-03-31","","Presentazione di prodotto farmaceutico","",479
"HCP","Dr. Antonio Bruno","BRNNTN87L01F205H","Ospedale Civile di Padova","Cardiologia","CONSULTANCY","2026-03-05","Genova","Consulenza tecnica di prodotto","Fattura IT-20260305-6",828
"HCP","Dr. Leonardo Ricci","RCCLNR64R01F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","CONFERENCE_SUPPORT","2026-03-13","Napoli","Rimborso spese viaggio e alloggio","Fattura IT-20260313-7",803
"HCP","Dr. Matteo Gatti","GTTMTT83M23F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","DONAZIONI","2026-02-16","Napoli","Donazione apparecchio ecografico","Fattura IT-20260216-8",740
"HCP","Dr. Mattia Moretti","MRTMTT64H16F205H","Ospedale Niguarda (Milano)","Dermatologia","CONVENZIONI","2026-02-01","Milano","Contratto di advisory board","Fattura IT-20260201-9",1491
"HCP","Dr. Antonio Bruno","BRNNTN89A12F205H","Ospedale Cardarelli (Napoli)","Cardiologia","DONAZIONI","2026-01-25","Bari","Supporto liberale borse di studio","Fattura IT-20260125-10",6506
"HCP","Dr. Chiara Bruno","BRNCHR55C19F205H","Ospedale Sant'Orsola (Bologna)","Pediatria","CONSULTANCY","2026-04-13","Napoli","Partecipazione tavola rotonda","Fattura IT-20260413-11",750
"HCP","Dr. Emma Costa","CSTMMM56D10F205H","Ospedale Cardarelli (Napoli)","Ginecologia","CONFERENCE_SUPPORT","2026-04-17","Bari","Copertura spese di ospitalità","Fattura IT-20260417-12",146
"HCP","Dr. Giulia Caruso","CRSGLG74B06F205H","Ospedale Niguarda (Milano)","Neurologia","PRESENTATION","2026-03-07","Milano","Presentazione di prodotto farmaceutico","Fattura IT-20260307-13",412
"HCP","Dr. Sofia Santoro","SNTSFS77P02F205H","Ospedale San Raffaele (Milano)","Cardiologia","DONAZIONI","2026-03-29","Firenze","Erogazione per attrezzature di reparto","Fattura IT-20260329-14",1896
